,make,model,year,VClass,trany,drive,cylinders,displ,fuelType,fuelType1,city08,highway08,comb08,StickerPrice,TCO
30281,Acura,MDX AWD,2017,SUV,Automatic,AWD,6,3.5,Premium,Premium,19,26,22,46553,55077
29967,Acura,RDX AWD,2017,SUV,Automatic,AWD,6,3.5,Premium,Premium,19,27,22,38520,48183
29966,Acura,RDX FWD,2017,SUV,Automatic,FWD,6,3.5,Premium,Premium,20,28,23,36993,46877
30006,BMW,X3 sDrive28i,2017,SUV,Automatic,RWD,4,2,Premium,Premium,21,28,24,47564,63268
30007,BMW,X3 xDrive28i,2017,SUV,Automatic,AWD,4,2,Premium,Premium,21,28,24,50995,66035
30008,BMW,X3 xDrive35i,2017,SUV,Automatic,AWD,6,3,Premium,Premium,19,26,21,58415,73867
31174,BMW,X4 xDrive28i,2017,SUV,Automatic,AWD,4,2,Premium,Premium,20,27,23,56815,69593
30502,BMW,X5 sDrive35i,2017,SUV,Automatic,RWD,6,3,Premium,Premium,18,25,21,66319,80344
31276,BMW,X5 xDrive 35d,2017,SUV,Automatic,AWD,6,3,Diesel,Diesel,23,29,25,71194,79317
30504,BMW,X5 xDrive35i,2017,SUV,Automatic,AWD,6,3,Premium,Premium,18,24,20,69655,83553
30678,BMW,X5 xDrive50i,2017,SUV,Automatic,AWD,8,4.4,Premium,Premium,15,21,17,88712,102813
30503,BMW,X6 sDrive35i,2017,SUV,Automatic,RWD,6,3,Premium,Premium,18,25,21,75556,84180
30505,BMW,X6 xDrive35i,2017,SUV,Automatic,AWD,6,3,Premium,Premium,18,24,20,76464,85509
30679,BMW,X6 xDrive50i,2017,SUV,Automatic,AWD,8,4.4,Premium,Premium,15,21,17,92327,101092
30195,Buick,Enclave AWD,2017,SUV,Automatic,AWD,6,3.6,Regular,Regular,15,22,17,45046,56298
30187,Buick,Enclave FWD,2017,SUV,Automatic,FWD,6,3.6,Regular,Regular,15,22,18,42484,53826
30671,Buick,Encore,2017,SUV,Automatic,FWD,4,1.4,Regular,Regular,25,33,28,24972,36497
30673,Buick,Encore AWD,2017,SUV,Automatic,AWD,4,1.4,Regular,Regular,24,30,27,26795,38009
30369,Buick,Envision AWD,2017,SUV,Automatic,AWD,4,2,Premium,Premium,20,26,22,44984,56539
30373,Cadillac,Escalade 2WD,2017,SUV,Automatic,RWD,8,6.2,Regular,Regular,15,22,17,74027,79732
30386,Cadillac,Escalade 4WD,2017,SUV,Automatic,4WD,8,6.2,Regular,Regular,15,20,17,77472,81636
29925,Cadillac,XT5,2017,SUV,Automatic,FWD,6,3.6,Regular,Regular,19,27,22,48878,57715
29926,Cadillac,XT5 AWD,2017,SUV,Automatic,AWD,6,3.6,Regular,Regular,18,26,21,51404,59740
30139,Chevrolet,Equinox AWD,2017,SUV,Automatic,AWD,4,2.4,Regular,Regular,20,28,23,31821,43391
30176,Chevrolet,Equinox FWD,2017,SUV,Automatic,FWD,4,2.4,Regular,Regular,21,31,25,25034,35928
30196,Chevrolet,Traverse AWD,2017,SUV,Automatic,AWD,6,3.6,Regular,Regular,15,22,17,29653,43900
30188,Chevrolet,Traverse FWD,2017,SUV,Automatic,FWD,6,3.6,Regular,Regular,15,22,18,31113,45659
30672,Chevrolet,Trax,2017,SUV,Automatic,FWD,4,1.4,Regular,Regular,25,33,28,19009,30479
30674,Chevrolet,Trax AWD,2017,SUV,Automatic,AWD,4,1.4,Regular,Regular,24,30,27,20660,31803
30577,Dodge,Durango AWD,2017,SUV,Automatic,4WD,6,3.6,Regular,Regular,18,25,21,35033,42321
30575,Dodge,Durango AWD,2017,SUV,Automatic,AWD,8,5.7,Midgrade,Midgrade,14,22,17,48797,57479
30572,Dodge,Durango RWD,2017,SUV,Automatic,RWD,6,3.6,Regular,Regular,19,26,21,33098,41113
30571,Dodge,Durango RWD,2017,SUV,Automatic,RWD,8,5.7,Midgrade,Midgrade,14,22,17,44923,54839
30493,Dodge,Journey,2017,SUV,Automatic,FWD,4,2.4,Regular,Regular,19,25,21,20988,34330
30494,Dodge,Journey,2017,SUV,Automatic,FWD,6,3.6,Gasoline or E85,Regular,17,25,19,31141,43374
30500,Dodge,Journey AWD,2017,SUV,Automatic,AWD,6,3.6,Regular,Regular,16,24,19,32547,44488
31134,Ford,Edge AWD,2017,SUV,Automatic,AWD,4,2,Regular,Regular,20,27,23,29228,43069
31177,Ford,Edge AWD,2017,SUV,Automatic,AWD,6,2.7,Regular,Regular,17,24,20,44876,52841
31132,Ford,Edge FWD,2017,SUV,Automatic,FWD,4,2,Regular,Regular,21,29,24,27260,41669
30028,Ford,Escape AWD,2017,SUV,Automatic,AWD,4,1.5,Regular,Regular,22,28,24,28105,38670
30022,Ford,Escape FWD,2017,SUV,Automatic,FWD,4,1.5,Regular,Regular,23,30,26,26093,36363
30021,Ford,Escape FWD,2017,SUV,Automatic,FWD,4,2.5,Regular,Regular,21,29,24,22935,34313
30190,Ford,Expedition 2WD,2017,SUV,Automatic,RWD,6,3.5,Regular,Regular,15,21,18,47842,53232
30197,Ford,Expedition 4WD,2017,SUV,Automatic,4WD,6,3.5,Regular,Regular,15,20,17,50390,55477
30191,Ford,Expedition EL 2WD,2017,SUV,Automatic,RWD,6,3.5,Regular,Regular,15,20,17,52238,57395
30198,Ford,Expedition EL 4WD,2017,SUV,Automatic,4WD,6,3.5,Regular,Regular,15,19,16,55053,59897
30285,Ford,Explorer 2WD FFV,2017,SUV,Automatic,FWD,6,3.5,Gasoline or E85,Regular,17,24,20,30482,41411
30286,Ford,Explorer AWD,2017,SUV,Automatic,AWD,4,2.3,Regular,Regular,18,25,21,46638,53228
30291,Ford,Explorer AWD,2017,SUV,Automatic,AWD,6,3.5,Regular,Regular,16,22,18,49792,56122
30287,Ford,Explorer AWD,2017,SUV,Automatic,AWD,6,3.5,Regular,Regular,16,23,19,53511,60985
30290,Ford,Explorer AWD FFV,2017,SUV,Automatic,AWD,6,3.5,Gasoline or E85,Regular,16,23,19,34083,44345
30283,Ford,Explorer FWD,2017,SUV,Automatic,FWD,4,2.3,Regular,Regular,19,27,22,43576,50880
31200,Ford,Flex AWD,2017,SUV,Automatic,AWD,6,3.5,Regular,Regular,15,21,17,38817,51578
31196,Ford,Flex FWD,2017,SUV,Automatic,FWD,6,3.5,Regular,Regular,16,23,19,36187,48816
30078,GMC,Acadia AWD,2017,SUV,Automatic,AWD,6,3.6,Regular,Regular,18,25,20,48930,57776
30076,GMC,Acadia FWD,2017,SUV,Automatic,FWD,6,3.6,Regular,Regular,18,25,21,44931,54506
30199,GMC,Acadia Limited AWD,2017,SUV,Automatic,AWD,6,3.6,Regular,Regular,15,22,17,51443,59782
30192,GMC,Acadia Limited FWD,2017,SUV,Automatic,FWD,6,3.6,Regular,Regular,15,22,18,49583,58271
30140,GMC,Terrain AWD,2017,SUV,Automatic,AWD,4,2.4,Regular,Regular,20,28,23,28123,37886
30181,GMC,Terrain FWD,2017,SUV,Automatic,FWD,4,2.4,Regular,Regular,21,31,25,23369,33869
31235,Honda,CR-V AWD,2017,SUV,Automatic,AWD,4,1.5,Regular,Regular,27,33,29,29520,36317
31234,Honda,CR-V AWD,2017,SUV,Automatic,AWD,4,2.4,Regular,Regular,25,31,27,26524,34612
